product_code,indexx,BusinessUnit,Type,Products.Business.Line.Leader,Subtype,ProductName,BrandName,Brand.Manager,N_ordered,nEast,N_East,nNorth,N_North,nSouth,N_South,nUnderdark,N_Underdark,nWest,N_West
10420162,11,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Dimensional Shackles,MYTHAL,Arentian Mythrandius,1985,0.168,333,0.373,740,0.321,637,0.012,24,0.126,251
10439225,12,ADVENTURING,TOOLS & KITS,Kay Glimshine,CONTAINER,Burlap Sack (Set of 20),U.N.N.,Ruralion Baeneduren,1828,0.160,292,0.358,654,0.326,596,0.018,32,0.139,254
10548505,13,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,HELMET,Helm of Telepathy,U.N.N.,Ruralion Baeneduren,2182,0.138,302,0.395,861,0.338,737,0.007,15,0.122,267
10554816,14,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Giant Riding Lizard,RED CURTAIN,Siras Invictus,1822,0.148,269,0.376,685,0.315,574,0.003,6,0.158,288
10566289,15,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,CLOTHING,Glamourweave,ARCANTIC,Enthoril Murkywaters,1979,0.130,258,0.356,704,0.360,712,0.006,12,0.148,293
10591294,16,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Javelin of Backbiting,MYTHAL,Arentian Mythrandius,2056,0.151,310,0.406,834,0.282,579,0.008,16,0.154,317
10608994,17,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,RING,Ring of Spell Storing,U.N.N.,Ruralion Baeneduren,1876,0.134,251,0.350,656,0.400,751,0.021,39,0.095,179
10615306,18,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOL KITS,Potter’s tools ,RED CURTAIN,Siras Invictus,2109,0.136,286,0.367,774,0.319,672,0.014,29,0.165,348
10676164,19,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Sled,RED CURTAIN,Siras Invictus,2275,0.151,344,0.340,774,0.350,797,0.010,23,0.148,337
10687153,20,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Tentacle Rod,MYTHAL,Arentian Mythrandius,4251,0.071,300,0.408,1733,0.314,1335,0.106,449,0.102,434
10726016,21,LUXURY SPECIALTIES,TOOLS & KITS,Kay Glimshine,TOOLS,Rare Crafting Components,BORDERLANDS,Thaldrak Battlehammer,1935,0.146,283,0.311,601,0.369,714,0.016,31,0.158,306
10893656,22,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,WAND,Wand of Smiles,U.N.N.,Ruralion Baeneduren,2004,0.169,338,0.359,720,0.346,693,0.011,22,0.115,231
10965860,23,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Kyrzins Ooze,SABLE,Nundro Rockseeker,2221,0.132,294,0.364,809,0.359,798,0.018,41,0.126,279
11017390,24,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Common Crafting Components,ARCANTIC,Enthoril Murkywaters,2043,0.158,322,0.307,628,0.374,765,0.013,26,0.148,302
11041038,25,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL RANGED WEAPON,Longbow ,U.N.N.,Ruralion Baeneduren,4645,0.251,1168,0.155,720,0.429,1995,0.003,14,0.161,748
11052360,26,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Climbers kit ,RED CURTAIN,Siras Invictus,2095,0.144,301,0.358,751,0.336,703,0.004,8,0.158,332
11140770,27,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Dragon Scale Mail,SABLE,Nundro Rockseeker,3529,0.311,1099,0.205,725,0.408,1441,0.008,27,0.067,237
11153869,28,ADVENTURING,JEWELRY,Lanec Lot,RING,Ring of Poison Resistance,SABLE,Nundro Rockseeker,1605,0.117,188,0.355,570,0.338,543,0.026,42,0.163,262
11209124,29,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Keoghtoms Ointment,BORDERLANDS,Thaldrak Battlehammer,1958,0.137,268,0.341,668,0.344,673,0.008,16,0.170,333
11209779,30,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Crystal,BORDERLANDS,Thaldrak Battlehammer,1952,0.147,286,0.387,755,0.347,678,0.012,23,0.108,210
11256716,31,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Smoldering Armor Enchantment,U.N.N.,Ruralion Baeneduren,2032,0.166,338,0.357,726,0.337,684,0.012,25,0.127,259
11364262,32,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Spellbook ,BORDERLANDS,Thaldrak Battlehammer,1966,0.177,348,0.343,674,0.338,665,0.010,19,0.132,260
11535354,33,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,HELMET,Helm of Teleportation,SABLE,Nundro Rockseeker,2076,0.156,324,0.401,832,0.297,616,0.005,10,0.142,294
11539502,34,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Hellsteel Simple Melee Weapon,U.N.N.,Ruralion Baeneduren,2732,0.076,208,0.528,1443,0.253,692,0.001,4,0.141,385
11582533,35,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Mace of Smiting,BORDERLANDS,Thaldrak Battlehammer,1830,0.156,286,0.340,622,0.335,613,0.006,11,0.163,298
11590588,36,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,Boots of False Tracks,U.N.N.,Ruralion Baeneduren,1998,0.165,330,0.366,731,0.321,642,0.019,38,0.129,257
11602354,37,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Chain (10 feet) ,BORDERLANDS,Thaldrak Battlehammer,1976,0.134,265,0.356,704,0.360,712,0.018,36,0.131,259
11619615,38,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,HEAVY ARMOUR,Heavy Armour +3,RED CURTAIN,Siras Invictus,2039,0.143,292,0.359,731,0.341,695,0.010,21,0.147,300
11660040,39,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,WIND INSTRUMENT,Lute,RED CURTAIN,Siras Invictus,1953,0.166,325,0.320,625,0.383,748,0.009,18,0.121,237
11713425,40,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,RING,Ring of Regeneration,ARCANTIC,Enthoril Murkywaters,2005,0.162,325,0.402,807,0.255,511,0.011,23,0.169,339
11716264,41,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,LIGHT ARMOUR,Leather Golem Armour,BORDERLANDS,Thaldrak Battlehammer,1802,0.142,255,0.393,709,0.275,495,0.007,13,0.183,330
11737785,42,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,WAND,Wand of Viscid Globs,ARCANTIC,Enthoril Murkywaters,4843,0.061,295,0.631,3058,0.239,1159,0.005,26,0.063,305
11794259,43,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,LIGHT ARMOUR,Studded leather armour,RED CURTAIN,Siras Invictus,5847,0.199,1164,0.346,2025,0.325,1899,0.006,36,0.124,723
11929061,44,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Maul ,RED CURTAIN,Siras Invictus,4726,0.190,896,0.494,2333,0.215,1016,0.002,9,0.100,472
12029066,45,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,HELMET,Mask of the Beast,RED CURTAIN,Siras Invictus,2097,0.162,339,0.366,767,0.332,696,0.002,4,0.139,291
12042414,46,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Gavel of the Venn Rune,SABLE,Nundro Rockseeker,2399,0.178,427,0.346,830,0.296,709,0.018,44,0.162,389
12060345,47,LUXURY SPECIALTIES,SUMMONING DEVICE,Gundren Rockseeker,SUMMONING DEVICE,Elemental Gem,ARCANTIC,Enthoril Murkywaters,1991,0.164,327,0.304,605,0.383,763,0.007,14,0.142,282
12066739,48,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,CLOTHING,Toque,RED CURTAIN,Siras Invictus,1957,0.142,278,0.333,652,0.337,660,0.011,21,0.177,346
12080329,49,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Pole (3m collapsable),U.N.N.,Ruralion Baeneduren,2013,0.139,280,0.370,745,0.352,708,0.014,29,0.125,251
12083870,50,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,TOOLS,Scribes Pen,U.N.N.,Ruralion Baeneduren,1836,0.153,281,0.378,694,0.329,604,0.022,40,0.118,217
12096354,51,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Manacles ,U.N.N.,Ruralion Baeneduren,1897,0.144,274,0.343,650,0.365,692,0.007,14,0.141,267
12147094,52,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Iron Bands of Bilarro,SABLE,Nundro Rockseeker,1873,0.163,306,0.322,603,0.339,635,0.010,19,0.166,310
12150555,53,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,STAFF,Staff of Charming,RED CURTAIN,Siras Invictus,1983,0.176,349,0.347,688,0.307,608,0.008,15,0.163,323
12237363,54,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Feather Token (Tree),U.N.N.,Ruralion Baeneduren,2054,0.168,345,0.339,697,0.342,702,0.030,61,0.121,249
12271598,55,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOL KITS,Thieves’ tools ,BORDERLANDS,Thaldrak Battlehammer,1855,0.166,308,0.343,636,0.328,608,0.025,46,0.139,257
12283333,56,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Medium Armour +3,MYTHAL,Arentian Mythrandius,2173,0.135,293,0.370,804,0.363,788,0.007,15,0.126,273
12288198,57,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Staff of Flowers,ARCANTIC,Enthoril Murkywaters,2312,0.125,288,0.428,990,0.319,737,0.012,27,0.117,270
12329047,58,LUXURY SPECIALTIES,SUMMONING DEVICE,Gundren Rockseeker,SUMMONING DEVICE,Bowl of Commanding Water Elementals,BORDERLANDS,Thaldrak Battlehammer,1843,0.144,265,0.380,700,0.326,601,0.004,7,0.147,270
12353959,59,LUXURY SPECIALTIES,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Giant War Lizard,RED CURTAIN,Siras Invictus,2046,0.189,387,0.347,710,0.328,672,0.011,22,0.125,255
12354764,60,LUXURY SPECIALTIES,TOOLS & KITS,Kay Glimshine,CONTAINER,Cauldron of Rebirth,SABLE,Nundro Rockseeker,2009,0.136,274,0.390,783,0.302,606,0.024,49,0.148,297
12391880,61,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Stone of Good Luck (Luckstone),SABLE,Nundro Rockseeker,2167,0.132,286,0.395,855,0.320,694,0.005,11,0.148,321
12426423,62,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,"Tent, two-person ",U.N.N.,Ruralion Baeneduren,2047,0.165,337,0.348,713,0.343,703,0.011,22,0.133,272
12436254,63,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Blood of the Lycanthrope Antidote,MYTHAL,Arentian Mythrandius,1948,0.160,311,0.380,741,0.342,666,0.006,12,0.112,218
12438213,64,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Rod,U.N.N.,Ruralion Baeneduren,2132,0.143,305,0.387,826,0.363,774,0.016,35,0.090,192
12444160,65,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,BRACERS,Braclet of Rock Magic,SABLE,Nundro Rockseeker,2055,0.154,316,0.332,682,0.329,676,0.014,29,0.171,352
12445982,66,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Dust of Deliciousness,U.N.N.,Ruralion Baeneduren,2165,0.162,350,0.364,789,0.335,725,0.012,25,0.127,276
12460265,67,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Potion of Gaseous Form,MYTHAL,Arentian Mythrandius,2170,0.135,292,0.396,860,0.344,747,0.010,21,0.115,250
12499477,68,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,BRASS INSTRUMENT,Horn,U.N.N.,Ruralion Baeneduren,1949,0.174,340,0.303,590,0.354,689,0.005,9,0.165,321
12506088,69,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Totem (Druidic focus),RED CURTAIN,Siras Invictus,2059,0.153,314,0.353,727,0.350,721,0.010,21,0.134,276
12534055,70,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Living Medium Armour,SABLE,Nundro Rockseeker,2016,0.142,287,0.295,595,0.380,767,0.013,26,0.169,341
12566546,71,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,BELT / GIRDLE,Belt of Cloud Giant Strength,SABLE,Nundro Rockseeker,1841,0.166,306,0.343,632,0.283,521,0.005,10,0.202,372
12733542,72,COMMISSIONS,ADVENTURING EQUIPMENT,Bubbles,ROD,Rod of Resurrection,ARCANTIC,Enthoril Murkywaters,2122,0.142,302,0.331,702,0.381,809,0.016,33,0.130,276
12790077,73,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Quarterstaff ,U.N.N.,Ruralion Baeneduren,8439,0.369,3113,0.411,3468,0.187,1578,0.004,37,0.029,243
12797188,74,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,HELMET,Helm of Comprehending Languages,BORDERLANDS,Thaldrak Battlehammer,2037,0.138,281,0.370,754,0.359,732,0.006,13,0.126,257
12816694,75,ADVENTURING,JEWELRY,Lanec Lot,RING,Ring of Swimming,ARCANTIC,Enthoril Murkywaters,1728,0.155,267,0.329,568,0.343,592,0.011,19,0.163,282
12840778,76,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Potion of Storm Giant Strength,MYTHAL,Arentian Mythrandius,2006,0.167,336,0.401,805,0.293,588,0.016,32,0.122,245
12856263,77,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,ARMOUR OTHER,Armour of Vulnerability,SABLE,Nundro Rockseeker,4434,0.075,331,0.443,1966,0.328,1454,0.101,450,0.053,233
12900081,78,COMMISSIONS,ARMS & ARMOUR,T'avin T'soban,STAFF,Dragonstaff of Ahghairon,MYTHAL,Arentian Mythrandius,4429,0.072,320,0.609,2697,0.253,1119,0.005,22,0.061,271
12904245,79,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Alchemist’s fire (flask) ,RED CURTAIN,Siras Invictus,2077,0.173,360,0.346,719,0.333,692,0.004,9,0.143,297
12923092,80,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Religious Knowledge,BORDERLANDS,Thaldrak Battlehammer,2104,0.148,312,0.352,741,0.380,799,0.015,31,0.105,221
12954386,81,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,"Ball bearings (bag of 1,000) ",RED CURTAIN,Siras Invictus,2059,0.152,313,0.326,671,0.327,673,0.010,20,0.186,382
13035994,82,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Club ,RED CURTAIN,Siras Invictus,2320,0.263,610,0.370,858,0.250,581,0.016,37,0.101,234
13103633,83,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,AMMUNITION,Arrows +3,SABLE,Nundro Rockseeker,4192,0.075,316,0.348,1460,0.506,2122,0.013,54,0.057,240
13120912,84,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,AMMUNITION,Arrows +2,RED CURTAIN,Siras Invictus,2553,0.292,746,0.281,718,0.295,754,0.005,12,0.127,323
13175637,85,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Battleaxe ,RED CURTAIN,Siras Invictus,4713,0.236,1112,0.164,775,0.432,2034,0.006,30,0.162,762
13249335,86,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Mirror of Life Trapping,U.N.N.,Ruralion Baeneduren,1998,0.152,303,0.382,764,0.333,665,0.012,23,0.122,243
13261430,87,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Keycharm,ARCANTIC,Enthoril Murkywaters,2226,0.131,292,0.370,823,0.332,738,0.018,40,0.150,333
13282716,88,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Bloodwell Vial,SABLE,Nundro Rockseeker,2165,0.126,272,0.360,779,0.367,794,0.006,13,0.142,307
13315364,89,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,HEAVY ARMOUR,Splint mail,RED CURTAIN,Siras Invictus,5471,0.194,1064,0.264,1445,0.351,1921,0.004,20,0.187,1021
13360454,90,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Sekolahian Worshiping Statuette,SABLE,Nundro Rockseeker,1879,0.187,351,0.357,670,0.333,626,0.009,17,0.114,215
13435973,91,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,RING,Ring of Protection,ARCANTIC,Enthoril Murkywaters,1995,0.146,291,0.329,656,0.351,700,0.001,1,0.174,347
13491134,92,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,AMULET / NECKLACE,Amulet of Protection from Turning,MYTHAL,Arentian Mythrandius,1864,0.139,260,0.413,770,0.319,595,0.004,8,0.124,231
13523472,93,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOL KITS,Poisoner’s kit ,BORDERLANDS,Thaldrak Battlehammer,1894,0.123,233,0.372,704,0.341,646,0.014,26,0.150,285
13554698,94,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,GAUNTLETS / GLOVES,Gloves of Missile Snaring,SABLE,Nundro Rockseeker,1947,0.125,244,0.364,709,0.369,719,0.014,27,0.127,248
13709109,95,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Language Knowledge,MYTHAL,Arentian Mythrandius,2037,0.155,316,0.368,749,0.308,628,0.017,34,0.152,310
13723867,96,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Mess kit ,BORDERLANDS,Thaldrak Battlehammer,1943,0.161,312,0.306,594,0.365,709,0.025,48,0.144,280
13744270,97,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Mending Clothes Enchantment,ARCANTIC,Enthoril Murkywaters,1876,0.163,305,0.326,612,0.348,653,0.019,35,0.144,271
13786108,98,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Tome of Clear Thought,MYTHAL,Arentian Mythrandius,1977,0.153,303,0.357,706,0.327,646,0.012,24,0.151,298
13836109,99,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Basket ,BORDERLANDS,Thaldrak Battlehammer,2138,0.102,218,0.397,848,0.348,744,0.023,49,0.130,279
13894759,100,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,HEAVY ARMOUR,Last Stand Armour,ARCANTIC,Enthoril Murkywaters,1943,0.144,279,0.388,753,0.314,611,0.013,25,0.142,275
13897061,101,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,GOGGLES,Goggles of Object Reading,BORDERLANDS,Thaldrak Battlehammer,2185,0.162,354,0.374,817,0.337,737,0.012,26,0.115,251
13960481,102,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Rowboat,U.N.N.,Ruralion Baeneduren,2231,0.149,333,0.341,760,0.360,804,0.016,36,0.134,298
14126368,103,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,GAUNTLETS / GLOVES,Gloves of Missile Snaring,SABLE,Nundro Rockseeker,2144,0.140,300,0.387,829,0.346,742,0.007,16,0.120,257
14191222,104,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Vial (Crate),BORDERLANDS,Thaldrak Battlehammer,1964,0.165,324,0.351,690,0.346,679,0.026,51,0.112,220
14215138,105,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Fulminating Treatise,SABLE,Nundro Rockseeker,2099,0.160,335,0.373,782,0.333,698,0.016,34,0.119,250
14285650,106,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Scale mail ,U.N.N.,Ruralion Baeneduren,1988,0.171,339,0.382,760,0.332,660,0.006,11,0.110,218
14294155,107,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,CLOAK,Wings of Flying,SABLE,Nundro Rockseeker,1918,0.152,291,0.338,649,0.315,605,0.010,20,0.184,353
14363680,108,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,CLOAK,Cloak of Elvenkind,SABLE,Nundro Rockseeker,2009,0.141,283,0.369,742,0.340,684,0.019,39,0.130,261
14434053,109,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Shard of the Ise Rune,U.N.N.,Ruralion Baeneduren,2252,0.189,426,0.338,761,0.324,729,0.010,22,0.139,314
14446191,110,ADVENTURING,TOOLS & KITS,Kay Glimshine,GAMING SET,Dodecahedron of Doom,BORDERLANDS,Thaldrak Battlehammer,2011,0.153,307,0.339,682,0.337,677,0.008,16,0.164,329
14448104,111,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,"Lantern, bullseye ",BORDERLANDS,Thaldrak Battlehammer,2057,0.135,278,0.326,670,0.397,817,0.008,17,0.134,275
14451062,112,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL RANGED WEAPON,Net,RED CURTAIN,Siras Invictus,3136,0.100,314,0.401,1259,0.404,1268,0.005,15,0.089,280
14464077,113,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Pony,BORDERLANDS,Thaldrak Battlehammer,2002,0.144,289,0.347,694,0.399,798,0.003,7,0.107,214
14475948,114,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOL KITS,Cobbler’s tools ,BORDERLANDS,Thaldrak Battlehammer,2049,0.159,325,0.381,780,0.300,615,0.015,31,0.145,298
14497595,115,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Potion of Mind Reading,ARCANTIC,Enthoril Murkywaters,2005,0.156,313,0.367,735,0.315,632,0.005,10,0.157,315
14513058,116,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,CLOAK,Mantle of Spell Resistance,U.N.N.,Ruralion Baeneduren,2344,0.160,375,0.344,806,0.326,765,0.015,34,0.155,364
14523907,117,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Lock (Box of 12),U.N.N.,Ruralion Baeneduren,2144,0.147,315,0.347,743,0.357,765,0.013,27,0.137,294
14529418,118,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,STRING INSTRUMENT,Dulcimer,RED CURTAIN,Siras Invictus,1930,0.133,256,0.336,648,0.373,720,0.025,49,0.133,257
14594127,119,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Awareness,RED CURTAIN,Siras Invictus,2048,0.167,342,0.426,872,0.275,564,0.014,29,0.118,241
14638031,120,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Banner of the Krig Rune,SABLE,Nundro Rockseeker,2032,0.164,333,0.304,617,0.395,802,0.006,12,0.132,268
14639184,121,ADVENTURING,TOOLS & KITS,Kay Glimshine,CONTAINER,Burlap Sack (Set of 20),BORDERLANDS,Thaldrak Battlehammer,1828,0.166,303,0.379,693,0.301,550,0.009,17,0.145,265
14667482,122,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Hammer ,RED CURTAIN,Siras Invictus,2076,0.132,274,0.360,748,0.356,740,0.014,29,0.137,285
14831743,123,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Irian Rosewood Focus,SABLE,Nundro Rockseeker,2064,0.144,298,0.323,667,0.379,782,0.029,59,0.125,258
14887423,124,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,Barrel,BORDERLANDS,Thaldrak Battlehammer,2028,0.165,335,0.350,709,0.344,698,0.010,21,0.131,265
14903135,125,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,Hunting trap ,RED CURTAIN,Siras Invictus,2055,0.186,382,0.391,803,0.305,626,0.017,34,0.102,210
15035849,126,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Maul ,BORDERLANDS,Thaldrak Battlehammer,4623,0.191,885,0.492,2273,0.221,1021,0.001,4,0.095,440
